Ort,latitude,longitude
Berlin,52.5170365,13.3888599
Hamburg,53.550341,10.000654
Kiel,54.3227085,10.135555
Stettin,53.4301818,14.5509623
Göttingen,51.5328328,9.9351811
Hamborn,51.5041215,6.7725325
Witten,51.4370171,7.335124
Haida,50.757878,14.5554953
Wien,48.2083537,16.3725042
Breslau,51.1089776,17.0326689
Dresden,51.0493286,13.7381437
Königsberg,54.710128,20.5105838
Wieden OT Schechen,47.9293283,12.1235996
Schlatkow OT Schmatzin,53.9207463,13.5821201
Neustadt i. S.,51.0249519,14.2140882
Koblenz,50.3533278,7.5943951
Leipzig,51.3406321,12.3747329
Wilmersdorf,52.483333,13.316667
Zehlendorf-West,52.434,13.259